city,state,place_name,category,mood,available_time_min,distance_km,visit_duration_min,preference_match,is_open,time_fit,distance_fit,suitability
Hyderabad,Telangana,Golconda Fort,fort,adventure,60,0.57,145,0.746,1,0,1,0
Srinagar,Jammu and Kashmir,Dal Lake,lake,nature,30,0.59,145,0.871,1,0,1,1
Mumbai,Maharashtra,Elephanta Caves,historic,food,300,5.19,175,0.373,1,1,1,1
Bengaluru,Karnataka,Bannerghatta Biological Park,nature,adventure,30,0.77,170,0.831,1,0,1,1
Hampi,Karnataka,Matanga Hill,nature,adventure,60,0.84,95,0.805,1,0,1,1
Delhi,Delhi,Humayun's Tomb,historic,adventure,480,18.56,95,0.189,1,1,1,0
Jaipur,Rajasthan,City Palace,historic,adventure,120,7.46,115,0.146,1,1,1,0
Mumbai,Maharashtra,Marine Drive,viewpoint,explore,120,2.03,60,0.942,1,1,1,1
Kolkata,West Bengal,Indian Museum,museum,culture,60,1.9,110,0.906,0,0,1,0
Hyderabad,Telangana,Hussain Sagar Lake,nature,adventure,300,13.33,75,0.273,1,1,1,1
Nashik,Maharashtra,Pandavleni Caves,historic,culture,30,1.8,120,0.869,0,0,1,0
Bengaluru,Karnataka,Bangalore Palace,historic,nature,480,31.47,90,0.412,1,1,1,1
Chennai,Tamil Nadu,Fort St George,historic,explore,30,2.4,85,0.847,1,0,1,1
Mysuru,Karnataka,Brindavan Gardens,garden,culture,120,5.51,85,0.476,1,1,1,1
Agra,Uttar Pradesh,Agra Fort,fort,culture,30,2.04,125,0.921,1,0,1,1
Hyderabad,Telangana,Salar Jung Museum,museum,food,480,3.77,140,0.273,1,1,1,1
Darjeeling,West Bengal,Happy Valley Tea Estate,nature,adventure,60,4.51,95,0.302,1,0,1,0
Bengaluru,Karnataka,Bangalore Palace,historic,food,480,27.43,80,0.061,1,1,1,0
Hyderabad,Telangana,Qutb Shahi Tombs,historic,food,300,19.89,100,0.22,1,1,1,1
Gangtok,Sikkim,Tashi View Point,viewpoint,explore,480,30.16,70,0.738,1,1,1,1
Kolkata,West Bengal,Howrah Bridge,monument,explore,60,4.24,45,0.763,1,1,1,1
Delhi,Delhi,India Gate,monument,nature,60,1.87,55,0.312,1,1,1,1
Hampi,Karnataka,Hampi Bazaar,historic,culture,30,1.51,60,0.861,1,0,1,1
Agra,Uttar Pradesh,Itmad-ud-Daulah's Tomb,historic,culture,30,2.5,80,0.943,1,0,1,1
Srinagar,Jammu and Kashmir,Shankaracharya Temple,religious,adventure,120,6.78,120,0.749,1,1,1,1
Mysuru,Karnataka,Brindavan Gardens,garden,food,300,6.87,105,0.063,1,1,1,1
Mysuru,Karnataka,Mysuru Zoo,nature,nature,480,31.22,175,0.798,1,1,1,1
Jaipur,Rajasthan,Jal Mahal,viewpoint,explore,30,2.98,50,0.957,1,0,1,1
Ahmedabad,Gujarat,Kankaria Lake,nature,culture,60,1.42,70,0.329,1,0,1,0
Nagpur,Maharashtra,Deekshabhoomi,monument,relax,30,2.91,65,0.792,1,0,1,1
Bengaluru,Karnataka,Cubbon Park,park,relax,180,4.82,80,0.899,1,1,1,1
Agra,Uttar Pradesh,Akbar's Tomb,historic,explore,30,1.78,90,0.739,1,0,1,1
Nashik,Maharashtra,Trimbakeshwar Temple,religious,relax,30,0.79,115,0.867,1,0,1,1
Mysuru,Karnataka,Brindavan Gardens,garden,nature,300,1.79,100,0.768,1,1,1,1
Nagpur,Maharashtra,Satpuda Botanical Garden,garden,nature,480,11.24,70,0.818,1,1,1,1
Mysuru,Karnataka,Mysore Palace,historic,adventure,120,6.47,110,0.259,1,1,1,1
Jaipur,Rajasthan,City Palace,historic,adventure,60,4.44,110,0.25,1,0,1,0
Nagpur,Maharashtra,Ambazari Lake,nature,culture,300,13.09,65,0.298,1,1,1,1
Agra,Uttar Pradesh,Akbar's Tomb,historic,adventure,180,4.47,85,0.271,1,1,1,1
Delhi,Delhi,Lodhi Garden,garden,relax,180,1.0,90,0.828,1,1,1,1
Delhi,Delhi,Lotus Temple,religious,explore,60,3.34,70,0.278,0,0,1,0
Udaipur,Rajasthan,Lake Pichola,lake,nature,180,2.85,75,0.872,1,1,1,1
Pune,Maharashtra,Sinhagad Fort,fort,adventure,180,6.86,165,0.764,1,1,1,1
Hyderabad,Telangana,Salar Jung Museum,museum,culture,60,2.41,110,0.93,1,0,1,1
Mumbai,Maharashtra,Elephanta Caves,historic,relax,300,6.2,140,0.282,1,1,1,1
Amritsar,Punjab,Partition Museum,museum,relax,180,9.12,105,0.518,1,1,1,1
Chennai,Tamil Nadu,Guindy National Park,nature,explore,300,6.16,110,0.293,1,1,1,1
Mumbai,Maharashtra,Juhu Beach,beach,relax,480,8.3,85,0.962,0,1,1,1
Delhi,Delhi,Lodhi Garden,garden,nature,180,11.26,65,0.961,1,1,1,1
Goa,Goa,Fort Aguada,fort,culture,30,2.06,125,0.752,1,0,1,1
Udaipur,Rajasthan,City Palace Udaipur,historic,food,180,4.19,120,0.1,0,1,1,0
Jaipur,Rajasthan,Jal Mahal,viewpoint,culture,480,4.43,45,0.373,1,1,1,0
Amritsar,Punjab,Jallianwala Bagh,historic,culture,60,4.6,70,0.852,1,0,1,1
Jaipur,Rajasthan,Nahargarh Fort,fort,nature,300,6.65,100,0.876,1,1,1,1
Varanasi,Uttar Pradesh,Dashashwamedh Ghat,religious,culture,180,5.34,80,0.791,0,1,1,1
Ahmedabad,Gujarat,Sidi Saiyyed Mosque,religious,nature,300,12.59,70,0.504,1,1,1,1
Nagpur,Maharashtra,Ramtek Fort Temple,fort,explore,120,6.27,100,0.177,1,1,1,1
Delhi,Delhi,Qutub Minar,historic,adventure,480,28.27,100,0.139,1,1,1,1
Kolkata,West Bengal,Maidan,park,culture,60,2.79,75,0.376,1,0,1,0
Agra,Uttar Pradesh,Akbar's Tomb,historic,relax,120,4.49,75,0.302,1,1,1,1
Nashik,Maharashtra,Saptashrungi Temple,religious,food,180,2.28,125,0.242,1,1,1,1
Ahmedabad,Gujarat,Kankaria Lake,nature,relax,480,4.0,100,0.906,0,1,1,1
Gangtok,Sikkim,Tsomgo Lake,lake,adventure,60,2.76,170,0.806,1,0,1,1
Pune,Maharashtra,Aga Khan Palace,historic,relax,300,3.42,85,0.379,1,1,1,1
Mumbai,Maharashtra,Juhu Beach,beach,food,480,22.98,90,0.089,1,1,1,0
Udaipur,Rajasthan,City Palace Udaipur,historic,explore,480,23.95,145,0.836,1,1,1,1
Varanasi,Uttar Pradesh,Assi Ghat,religious,food,30,2.29,70,0.253,1,0,1,0
Darjeeling,West Bengal,Tiger Hill,viewpoint,food,120,4.41,125,0.358,1,0,1,0
Pune,Maharashtra,Aga Khan Palace,historic,explore,60,0.71,75,0.72,1,0,1,1
Bengaluru,Karnataka,Cubbon Park,park,nature,30,1.42,70,0.916,1,0,1,1
Jaipur,Rajasthan,Hawa Mahal,historic,nature,60,0.77,60,0.182,1,1,1,1
Goa,Goa,Baga Beach,beach,explore,300,18.6,135,0.781,1,1,1,1
Srinagar,Jammu and Kashmir,Dal Lake,lake,relax,60,4.02,120,0.86,1,0,1,1
Gangtok,Sikkim,Tsomgo Lake,lake,relax,60,2.76,200,0.472,1,0,1,0
Mumbai,Maharashtra,Gateway of India,historic,food,300,12.48,80,0.248,1,1,1,0
Varanasi,Uttar Pradesh,Sarnath,historic,food,120,7.27,160,0.265,1,0,1,0
Delhi,Delhi,Lotus Temple,religious,culture,120,5.46,65,0.957,1,1,1,1
Hyderabad,Telangana,Golconda Fort,fort,adventure,480,17.67,130,0.97,1,1,1,1
Pune,Maharashtra,Aga Khan Palace,historic,adventure,30,2.37,100,0.353,1,0,1,0
Udaipur,Rajasthan,City Palace Udaipur,historic,adventure,300,7.0,160,0.408,1,1,1,1
Bengaluru,Karnataka,Bannerghatta Biological Park,nature,culture,300,12.92,205,0.369,1,1,1,1
Chennai,Tamil Nadu,Kapaleeshwarar Temple,religious,nature,60,3.5,80,0.47,1,0,1,0
Udaipur,Rajasthan,Lake Pichola,lake,nature,30,1.98,95,0.731,0,0,1,0
Delhi,Delhi,Lodhi Garden,garden,explore,480,7.92,60,0.102,1,1,1,0
Pune,Maharashtra,Sinhagad Fort,fort,food,180,7.03,215,0.064,1,0,1,0
Bengaluru,Karnataka,Bannerghatta Biological Park,nature,explore,180,8.79,175,0.761,1,1,1,1
Chennai,Tamil Nadu,Government Museum Chennai,museum,nature,480,28.24,135,0.251,1,1,1,1
Nagpur,Maharashtra,Satpuda Botanical Garden,garden,culture,30,2.08,60,0.179,0,0,1,0
Agra,Uttar Pradesh,Agra Fort,fort,explore,30,1.22,125,0.936,1,0,1,1
Nagpur,Maharashtra,Seminary Hill,nature,food,300,4.83,65,0.165,1,1,1,1
Mysuru,Karnataka,Brindavan Gardens,garden,explore,30,0.45,85,0.15,0,0,1,0
Lucknow,Uttar Pradesh,Chota Imambara,historic,culture,480,9.43,110,0.82,0,1,1,1
Bengaluru,Karnataka,Vidhana Soudha,monument,nature,120,4.44,45,0.316,1,1,1,1
Hyderabad,Telangana,Golconda Fort,fort,culture,30,2.16,125,0.907,1,0,1,1
Mumbai,Maharashtra,Chhatrapati Shivaji Maharaj Terminus,historic,culture,180,6.3,60,0.843,0,1,1,1
Delhi,Delhi,Lotus Temple,religious,relax,30,0.67,85,0.845,0,0,1,0
Nagpur,Maharashtra,Seminary Hill,nature,culture,180,10.68,55,0.249,1,1,1,1
Pune,Maharashtra,Pune Okayama Friendship Garden,garden,food,180,11.33,80,0.125,1,1,1,1
Lucknow,Uttar Pradesh,Janeshwar Mishra Park,park,culture,480,14.22,105,0.424,1,1,1,1
Kolkata,West Bengal,Maidan,park,nature,30,1.8,70,0.782,1,0,1,1
Goa,Goa,Dudhsagar Falls,nature,nature,120,5.7,195,0.953,1,0,1,1
Ahmedabad,Gujarat,Kankaria Lake,nature,food,300,3.43,90,0.357,1,1,1,1
Mumbai,Maharashtra,Marine Drive,viewpoint,food,120,1.22,70,0.131,0,1,1,0
Bengaluru,Karnataka,Bannerghatta Biological Park,nature,food,300,7.55,190,0.158,0,1,1,0
Mumbai,Maharashtra,Elephanta Caves,historic,explore,300,12.61,165,0.926,1,1,1,1
Ahmedabad,Gujarat,Adalaj Stepwell,historic,food,120,3.86,75,0.307,1,1,1,1
Darjeeling,West Bengal,Happy Valley Tea Estate,nature,adventure,480,8.1,100,0.425,1,1,1,1
Agra,Uttar Pradesh,Itmad-ud-Daulah's Tomb,historic,explore,60,1.8,75,0.893,1,0,1,1
Nagpur,Maharashtra,Ambazari Lake,nature,adventure,300,2.56,80,0.392,0,1,1,1
Mysuru,Karnataka,Mysore Palace,historic,adventure,30,0.68,140,0.533,1,0,1,0
Delhi,Delhi,Qutub Minar,historic,explore,300,15.09,105,0.898,1,1,1,1
Hampi,Karnataka,Virupaksha Temple,religious,culture,300,18.26,85,0.72,1,1,1,1
Nagpur,Maharashtra,Khindsi Lake,nature,food,60,4.95,105,0.087,1,0,1,0
Nagpur,Maharashtra,Ambazari Lake,nature,nature,60,3.06,75,0.847,1,0,1,1
Delhi,Delhi,Lotus Temple,religious,explore,480,5.96,70,0.449,1,1,1,1
Darjeeling,West Bengal,Tiger Hill,viewpoint,adventure,180,2.95,135,0.727,1,1,1,1
Bengaluru,Karnataka,Lalbagh Botanical Garden,garden,nature,30,0.85,105,0.846,1,0,1,1
Amritsar,Punjab,Partition Museum,museum,explore,30,1.03,100,0.936,1,0,1,1
Mysuru,Karnataka,Chamundi Hill,nature,culture,60,0.85,105,0.873,1,0,1,1
Goa,Goa,Palolem Beach,beach,nature,120,1.3,165,0.747,1,0,1,1
Mumbai,Maharashtra,Hanging Gardens,garden,explore,30,2.3,60,0.349,1,0,1,0
Nagpur,Maharashtra,Deekshabhoomi,monument,relax,60,3.47,60,0.95,1,1,1,1
Delhi,Delhi,Humayun's Tomb,historic,food,300,12.21,75,0.109,1,1,1,0
Nagpur,Maharashtra,Deekshabhoomi,monument,explore,60,1.25,50,0.257,1,1,1,1
Delhi,Delhi,Lotus Temple,religious,explore,30,0.88,70,0.291,1,0,1,0
Gangtok,Sikkim,Tsomgo Lake,lake,relax,300,7.76,175,0.121,1,1,1,0
Amritsar,Punjab,Jallianwala Bagh,historic,explore,120,0.72,75,0.938,1,1,1,1
Jaipur,Rajasthan,City Palace,historic,food,30,2.22,115,0.164,1,0,1,0
Hampi,Karnataka,Hampi Bazaar,historic,adventure,300,7.94,80,0.144,1,1,1,1
Mumbai,Maharashtra,Marine Drive,viewpoint,explore,480,3.52,65,0.84,1,1,1,1
Hyderabad,Telangana,Qutb Shahi Tombs,historic,nature,300,10.5,100,0.201,1,1,1,1
Hyderabad,Telangana,Qutb Shahi Tombs,historic,adventure,300,10.87,95,0.118,0,1,1,0
Delhi,Delhi,Lodhi Garden,garden,nature,300,1.45,75,0.882,1,1,1,1
Nagpur,Maharashtra,Satpuda Botanical Garden,garden,explore,60,1.51,55,0.265,1,1,1,1
Udaipur,Rajasthan,City Palace Udaipur,historic,culture,120,7.1,140,0.884,1,0,1,1
Pune,Maharashtra,Sarasbaug,park,culture,60,2.0,65,0.31,1,0,1,0
Lucknow,Uttar Pradesh,Janeshwar Mishra Park,park,food,180,9.83,100,0.13,0,1,1,0
Jaipur,Rajasthan,Jantar Mantar,museum,relax,300,8.84,75,0.338,1,1,1,1
Amritsar,Punjab,Partition Museum,museum,explore,480,25.7,130,0.822,1,1,1,1
Delhi,Delhi,Red Fort,historic,adventure,180,5.68,100,0.361,1,1,1,1
Hyderabad,Telangana,Salar Jung Museum,museum,adventure,30,2.63,105,0.418,0,0,1,0
Nagpur,Maharashtra,Ramtek Fort Temple,fort,nature,300,2.62,125,0.183,1,1,1,1
Nashik,Maharashtra,Saptashrungi Temple,religious,adventure,180,4.77,145,0.832,1,1,1,1
Pune,Maharashtra,Raja Dinkar Kelkar Museum,museum,food,30,1.08,80,0.136,1,0,1,0
Goa,Goa,Basilica of Bom Jesus,religious,explore,180,5.89,80,0.978,1,1,1,1
Lucknow,Uttar Pradesh,Residency Lucknow,historic,explore,60,4.49,90,0.849,1,0,1,1
Goa,Goa,Palolem Beach,beach,food,480,29.09,145,0.395,1,1,1,1
Kolkata,West Bengal,Howrah Bridge,monument,adventure,30,1.74,50,0.126,1,0,1,0
Delhi,Delhi,India Gate,monument,adventure,60,3.38,50,0.323,1,1,1,1
Hampi,Karnataka,Matanga Hill,nature,food,180,2.53,135,0.13,1,1,1,0
Varanasi,Uttar Pradesh,Assi Ghat,religious,adventure,120,7.48,65,0.181,1,1,1,0
Mumbai,Maharashtra,Hanging Gardens,garden,relax,60,1.09,50,0.956,0,1,1,1
Bengaluru,Karnataka,Cubbon Park,park,culture,300,11.52,70,0.138,1,1,1,0
Amritsar,Punjab,Partition Museum,museum,adventure,300,7.77,130,0.25,0,1,1,0
Hampi,Karnataka,Hampi Bazaar,historic,adventure,180,9.6,65,0.513,0,1,1,0
Srinagar,Jammu and Kashmir,Shankaracharya Temple,religious,culture,480,18.35,120,0.934,1,1,1,1
Jaipur,Rajasthan,Amber Fort,fort,nature,480,7.99,125,0.453,1,1,1,1
Mumbai,Maharashtra,Gateway of India,historic,explore,180,9.05,100,0.747,0,1,1,1
Chennai,Tamil Nadu,Government Museum Chennai,museum,explore,300,9.6,115,0.898,1,1,1,1
Varanasi,Uttar Pradesh,Assi Ghat,religious,relax,300,17.2,75,0.965,0,1,1,1
Mumbai,Maharashtra,Chhatrapati Shivaji Maharaj Terminus,historic,relax,60,2.33,65,0.402,1,0,1,0
Delhi,Delhi,Red Fort,historic,relax,180,11.88,120,0.26,1,1,1,0
Nagpur,Maharashtra,Ambazari Lake,nature,nature,180,3.37,90,0.907,0,1,1,1
Pune,Maharashtra,Sinhagad Fort,fort,food,300,16.27,150,0.188,1,1,1,0
Goa,Goa,Palolem Beach,beach,food,30,0.8,165,0.071,1,0,1,0
Nashik,Maharashtra,Trimbakeshwar Temple,religious,nature,30,0.88,110,0.364,1,0,1,0
Agra,Uttar Pradesh,Akbar's Tomb,historic,nature,30,2.25,100,0.277,1,0,1,0
Hyderabad,Telangana,Golconda Fort,fort,culture,300,11.73,150,0.823,1,1,1,1
Udaipur,Rajasthan,Saheliyon-ki-Bari,garden,culture,180,3.62,80,0.305,1,1,1,1
Chennai,Tamil Nadu,Fort St George,historic,culture,180,0.84,105,0.925,1,1,1,1
Varanasi,Uttar Pradesh,Kashi Vishwanath Temple,religious,explore,30,1.09,75,0.172,0,0,1,0
Nashik,Maharashtra,Panchvati,historic,food,300,16.32,80,0.214,1,1,1,1
Jaipur,Rajasthan,Jal Mahal,viewpoint,food,120,1.79,45,0.116,1,1,1,1
Gangtok,Sikkim,Tashi View Point,viewpoint,adventure,480,15.19,50,0.423,1,1,1,1
Bengaluru,Karnataka,Bannerghatta Biological Park,nature,culture,60,1.87,210,0.34,1,0,1,0
Goa,Goa,Baga Beach,beach,adventure,300,7.67,140,0.481,1,1,1,1
Pune,Maharashtra,Pune Okayama Friendship Garden,garden,nature,30,0.8,90,0.764,1,0,1,1
Mumbai,Maharashtra,Elephanta Caves,historic,food,60,4.89,145,0.29,0,0,1,0
Mumbai,Maharashtra,Gateway of India,historic,explore,300,3.26,100,0.801,1,1,1,1
Hyderabad,Telangana,Salar Jung Museum,museum,food,120,1.5,130,0.092,0,0,1,0
Mumbai,Maharashtra,Marine Drive,viewpoint,adventure,120,1.7,70,0.361,1,1,1,1
Bengaluru,Karnataka,Bangalore Palace,historic,adventure,300,19.0,105,0.154,1,1,1,1
Delhi,Delhi,Humayun's Tomb,historic,explore,60,4.91,80,0.207,1,0,1,0
Delhi,Delhi,Humayun's Tomb,historic,relax,300,2.79,95,0.776,1,1,1,1
Udaipur,Rajasthan,Jagdish Temple,religious,nature,30,2.22,70,0.32,0,0,1,0
Jaipur,Rajasthan,Amber Fort,fort,culture,180,10.15,150,0.736,1,1,1,1
Delhi,Delhi,Lodhi Garden,garden,explore,180,11.18,70,0.476,1,1,1,0
Hampi,Karnataka,Virupaksha Temple,religious,nature,480,30.67,75,0.541,1,1,1,1
Pune,Maharashtra,Raja Dinkar Kelkar Museum,museum,relax,60,4.65,80,0.428,1,0,1,0
Jaipur,Rajasthan,City Palace,historic,nature,480,13.07,140,0.511,1,1,1,1
Amritsar,Punjab,Wagah Border,monument,nature,480,16.35,150,0.319,1,1,1,1
Nashik,Maharashtra,Nandur Madhameshwar Bird Sanctuary,nature,culture,480,10.54,210,0.443,1,1,1,1
Pune,Maharashtra,Sinhagad Fort,fort,nature,300,7.67,175,0.931,1,1,1,1
Amritsar,Punjab,Sri Harmandir Sahib (Golden Temple),religious,explore,180,11.47,120,0.374,1,1,1,0
Nagpur,Maharashtra,Satpuda Botanical Garden,garden,adventure,120,6.69,65,0.325,1,1,1,1
Lucknow,Uttar Pradesh,Bara Imambara,historic,food,120,3.1,115,0.24,1,1,1,1
Agra,Uttar Pradesh,Agra Fort,fort,food,300,4.84,120,0.059,1,1,1,1
Hyderabad,Telangana,Golconda Fort,fort,food,180,2.28,180,0.165,1,1,1,0
Amritsar,Punjab,Jallianwala Bagh,historic,adventure,480,16.18,70,0.404,0,1,1,0
Amritsar,Punjab,Sri Harmandir Sahib (Golden Temple),religious,food,120,4.95,125,0.3,1,0,1,0
Bengaluru,Karnataka,Bannerghatta Biological Park,nature,nature,480,26.31,215,0.819,1,1,1,1
Kolkata,West Bengal,Howrah Bridge,monument,nature,30,0.53,40,0.259,1,0,1,0
Pune,Maharashtra,Raja Dinkar Kelkar Museum,museum,adventure,180,1.26,75,0.472,1,1,1,1
Delhi,Delhi,Lotus Temple,religious,nature,120,2.73,80,0.249,1,1,1,1
Kolkata,West Bengal,St. Paul's Cathedral,religious,relax,30,0.69,55,0.83,1,0,1,1
Agra,Uttar Pradesh,Akbar's Tomb,historic,food,300,4.44,105,0.212,0,1,1,0
Nashik,Maharashtra,Saptashrungi Temple,religious,adventure,300,15.26,175,0.892,1,1,1,1
Hampi,Karnataka,Virupaksha Temple,religious,relax,120,7.75,80,0.322,0,1,1,0
Nagpur,Maharashtra,Seminary Hill,nature,nature,180,10.12,60,0.902,1,1,1,1
Darjeeling,West Bengal,Padmaja Naidu Himalayan Zoological Park,nature,relax,60,2.89,145,0.308,1,0,1,0
Varanasi,Uttar Pradesh,Kashi Vishwanath Temple,religious,food,180,9.93,100,0.266,1,1,1,1
Amritsar,Punjab,Sri Harmandir Sahib (Golden Temple),religious,nature,60,0.78,145,0.104,1,0,1,0
Ahmedabad,Gujarat,Sidi Saiyyed Mosque,religious,culture,120,5.19,70,0.957,0,1,1,1
Udaipur,Rajasthan,Jagdish Temple,religious,adventure,120,6.1,55,0.355,1,1,1,1
Goa,Goa,Palolem Beach,beach,explore,60,0.75,135,0.432,1,0,1,0
Nagpur,Maharashtra,Khindsi Lake,nature,nature,120,2.55,95,0.887,1,1,1,1
Hyderabad,Telangana,Charminar,historic,adventure,30,2.18,70,0.542,1,0,1,0
Kolkata,West Bengal,Howrah Bridge,monument,culture,30,0.98,40,0.724,1,0,1,0
Bengaluru,Karnataka,Bangalore Palace,historic,culture,300,12.18,80,0.897,1,1,1,1
Mysuru,Karnataka,Chamundi Hill,nature,nature,300,7.88,115,0.851,1,1,1,1
Pune,Maharashtra,Sinhagad Fort,fort,food,30,2.16,205,0.132,1,0,1,0
Udaipur,Rajasthan,Saheliyon-ki-Bari,garden,food,60,0.6,80,0.183,1,0,1,0
Nashik,Maharashtra,Panchvati,historic,culture,480,23.39,85,0.978,1,1,1,1
Mumbai,Maharashtra,Juhu Beach,beach,explore,60,1.99,75,0.763,1,0,1,1
Amritsar,Punjab,Jallianwala Bagh,historic,culture,480,27.41,70,0.901,1,1,1,1
Mysuru,Karnataka,Mysuru Zoo,nature,relax,120,2.74,215,0.121,1,0,1,0
Mumbai,Maharashtra,Elephanta Caves,historic,adventure,60,3.38,140,0.826,1,0,1,1
Ahmedabad,Gujarat,Sabarmati Ashram,historic,explore,60,2.43,80,0.488,1,0,1,0
Mumbai,Maharashtra,Marine Drive,viewpoint,food,180,4.7,70,0.333,1,1,1,1
Chennai,Tamil Nadu,Fort St George,historic,food,30,1.3,75,0.283,1,0,1,0
Chennai,Tamil Nadu,Guindy National Park,nature,food,180,5.65,115,0.262,1,1,1,1
Hyderabad,Telangana,Hussain Sagar Lake,nature,adventure,480,28.2,85,0.399,1,1,1,1
Hyderabad,Telangana,Qutb Shahi Tombs,historic,relax,60,2.78,95,0.776,1,0,1,1
Hampi,Karnataka,Virupaksha Temple,religious,culture,120,5.55,105,0.962,1,1,1,1
Hampi,Karnataka,Matanga Hill,nature,nature,480,23.04,110,0.823,0,1,1,1
Udaipur,Rajasthan,City Palace Udaipur,historic,culture,180,4.44,120,0.744,1,1,1,1
Pune,Maharashtra,Shaniwar Wada,historic,relax,300,11.27,70,0.256,1,1,1,1
Bengaluru,Karnataka,Cubbon Park,park,food,30,1.3,80,0.188,1,0,1,0
Pune,Maharashtra,Sarasbaug,park,nature,30,0.44,55,0.839,1,0,1,1
Amritsar,Punjab,Wagah Border,monument,explore,180,11.26,185,0.86,1,0,1,1
Darjeeling,West Bengal,Padmaja Naidu Himalayan Zoological Park,nature,culture,120,4.44,165,0.264,1,0,1,0
Agra,Uttar Pradesh,Itmad-ud-Daulah's Tomb,historic,nature,60,0.45,70,0.215,1,0,1,0
Amritsar,Punjab,Partition Museum,museum,culture,480,4.65,100,0.76,1,1,1,1
Kolkata,West Bengal,Howrah Bridge,monument,culture,300,1.09,40,0.844,1,1,1,1
Pune,Maharashtra,Shaniwar Wada,historic,culture,30,2.01,60,0.84,1,0,1,1
Hampi,Karnataka,Virupaksha Temple,religious,food,480,27.45,85,0.184,1,1,1,0
Udaipur,Rajasthan,Saheliyon-ki-Bari,garden,adventure,120,5.34,75,0.153,1,1,1,0
Ahmedabad,Gujarat,Adalaj Stepwell,historic,relax,480,8.71,60,0.311,1,1,1,1
Delhi,Delhi,Lodhi Garden,garden,food,300,8.98,75,0.099,1,1,1,1
Pune,Maharashtra,Sarasbaug,park,food,180,5.2,50,0.207,1,1,1,1
Mumbai,Maharashtra,Hanging Gardens,garden,adventure,120,0.91,55,0.108,1,1,1,1
Pune,Maharashtra,Sarasbaug,park,culture,30,2.17,50,0.404,1,0,1,0
Agra,Uttar Pradesh,Itmad-ud-Daulah's Tomb,historic,explore,180,2.21,75,0.905,1,1,1,1
Pune,Maharashtra,Shaniwar Wada,historic,nature,480,19.95,70,0.172,1,1,1,0
Bengaluru,Karnataka,Bannerghatta Biological Park,nature,relax,30,2.67,145,0.448,0,0,1,0
Nashik,Maharashtra,Trimbakeshwar Temple,religious,food,180,6.99,100,0.11,0,1,1,0
Udaipur,Rajasthan,Lake Pichola,lake,relax,180,1.6,105,0.847,1,1,1,1
Hyderabad,Telangana,Qutb Shahi Tombs,historic,culture,120,1.33,95,0.81,1,1,1,1
Varanasi,Uttar Pradesh,Sarnath,historic,relax,120,7.06,145,0.79,1,0,1,1
Udaipur,Rajasthan,Saheliyon-ki-Bari,garden,explore,30,2.33,75,0.15,1,0,1,0
Nagpur,Maharashtra,Deekshabhoomi,monument,adventure,120,1.92,50,0.33,1,1,1,1
Jaipur,Rajasthan,Jal Mahal,viewpoint,food,180,7.83,45,0.278,1,1,1,1
